NOME;QUANT
BUG;1495
DOC;708
FEATURE;682
ENHANCEMENT;101
QUESTION;78
RUBY;77
WONT FIX;63
INVALID;56
PARSER;40
NEED FEEDBACK;34
0.7.0;34
REGRESSION;27
THIRD PARTY;21
TODO;16
2.0;14
3.0;14
1.1.0;14
COMPATIBILITY;13
TEST;13
ERROR;12
4.0.0;10
SECURITY;9
UI;9
API;8
HELP WANTED;8
WINDOWS;7
RAILS;7
AASM4;6
SUPPORT;5
CORE;5
DUPLICATE;4
0.7.5;4
REFACTOR;4
CANNOT REPRODUDE;4
1.3.0;4
BLOCKER;3
5.0;3
I18N;3
TASK;3
WIP;3
IMPORTANT;3
0.7.4;3
0.7.2;3
FIX;3
0.5.1;3
JRUBY;3
EXTINCT;3
PERFORMANCE;2
SPEC;2
2.0.0;2
1.2.6;2
FEEDBACK;2
2.0.X;2
INVESTIGATE;2
IN PROGRESS;2
EASY;2
NEEDS WORK;2
0.5.2;2
CRITICAL;2
NEED MORE INFO;2
DSL;2
1.2.2;2
1.7.0;2
1.5.0;2
V3.0.X;2
DISCUSS;2
V3.1.X;2
V2.5.0;2
V1.0.0;2
IMPROVEMENT;2
INTERNAL;2
NICE TO HAVE;2
V4.2.0;2
V4.3.0;2
1 - READY;2
3.3.0;2
3.1.0;2
2.2.2;2
ACTIVERECORD;2
PATCH;2
ON HOLD;2
FUTURE;2
REQUEST;2
BUILD;1
CRASH;1
INSTALL;1
JIT;1
RUBY 2.3;1
BSD;1
NEEDS REPRO;1
COMPILER;1
DEBUGGER;1
ENCODING;1
COMMUNIT;1
OS X;1
ARM;1
STDLIB;1
SOLARIS;1
KERNEL;1
JUMP IN;1
1.9 API;1
PLATFORM;1
STABLE;1
1.2.9;1
ENV;1
RESEARCH;1
1.2.8;1
1.2.7;1
EXTENSION;1
DRNIC-NOT-USING;1
DEPRECATE;1
V1.0;1
EYCAP 0.6;1
FORGERY 2.0;1
VERSION 3.0.1;1
COMPAT;1
1.1.X;1
6.0;1
4.0;1
V6;1
V5;1
CLEANUP;1
COPY;1
PENDING FEEDBACK;1
CURRENT WORK;1
NEEDS REVIEW;1
CLOSED BUT STILL IN CONVERSATION;1
HIGH;1
PENDING GEM RELEASE;1
POSTPONED;1
READY;1
PROPOSED;1
3.2.0 - USABILITY IMPROVEMENTS;1
DEPLOYMENT;1
3.1.0 - RAILS 4.1, BUG FIXES;1
ONEBODY 3.0 (REDESIGN);1
MATTHEW 18:20;1
UNCONFIRMED;1
COSMETIC;1
0.8.4;1
0.8.3;1
0.8.2;1
0.8.1;1
0.8.0;1
0.7.3;1
0.7.2 (CAUSE GITHUB IS BROKE);1
0.6.8;1
0.6.6;1
0.6.5;1
0.7.7;1
CONFIRMED;1
0.7.6.2;1
0.7.6.1;1
0.7.6;1
ADDED;1
0.7.1.1;1
0.7.1;1
0.6.2.1;1
0.6.2;1
0.6.1;1
0.6.1.1;1
0.6;1
0.8;1
0.7;1
0.5;1
0.5.2.1;1
V1.1;1
V2.6.11;1
NON-ISSUE;1
V2.6.10;1
V2.6.9;1
V2.6.7;1
V2.6.6;1
V2.6.4;1
NEVERLAND;1
V2.6.3;1
V2.6.2;1
V2.7.0;1
V2.6.0;1
MAJOR VERSION CHANGE;1
VIEW PATCH;1
CALLBACKS;1
PERSISTENCE;1
MAYBE BUG;1
4.3;1
WRONGTRACKER;1
MOVED;1
RAILS 3;1
2.X;1
1.3.4;1
RSPEC;1
MINITEST;1
SPINACH;1
UPGRADE;1
BUG-DEV;1
NEW GENERATOR;1
ASSIGNED;1
PPGUI;1
PPKEYBOARD;1
WEBSITE;1
PPBASE;1
PPEVENTS;1
UNVERIFIED;1
WORKS_FOR_ME;1
REOPENED;1
EXPECTED_BEHAVIOR;1
VERIFIED;1
NOT_A_BUG;1
ADDRESS_FEEDBACK;1
STEPS;1
NEED_SPECS;1
V2.3.9;1
V4.0.X;1
STALLED;1
VERSION;1
V2.4.6;1
V2.1.13;1
V2.2.11;1
V2.0.13;1
V2.2.1;1
V2.1.5;1
V2.2.0;1
V2.0.8;1
V2.1.4;1
V2.2.2;1
V2.0.5;1
V2.0.6;1
V2.1.X;1
V2.0.4;1
V2.0.0;1
V1.3.0;1
V1.2.X;1
V1.1.X;1
V1.1.0;1
V1.0.1;1
V0.70.0;1
V0.70.2;1
RAHGRESSION;1
GREENFIELD;1
0.6.0;1
0.5.0;1
0.4.0;1
0.3.7;1
0.3.6;1
DEPENDENCY;1
LOW PRIORITY;1
LONG TERM;1
MIDDLE TERM;1
SHORT TERM;1
AREA - MESSAGING;1
V5.0;1
AREA - DOCUMENTATION;1
2 - WORKING;1
AREA - SAMPLES;1
AREA - MS ASPNET;1
AREA - OAUTH2;1
V4.3.5;1
0 - BACKLOG;1
AREA - BUILD SYSTEM;1
V4.3.1;1
V4.2.3;1
V4.3.2;1
AREA - OAUTH 1;1
V4.2.2;1
AREA - OPENID;1
V4.1.5;1
V4.1.4;1
V4.1.3;1
V4.1.1;1
V4.0.5;1
DONATION CAMPAIGNS;1
V4.1;1
V4.0.4;1
V4.0.3;1
V4.0.2;1
V4.0.1;1
FEATURE REQUEST;1
OPENID CONNECT;1
V4.0.0;1
OAUTH 2 FINAL;1
SPLINTERS;1
VIADUCT;1
AREA - REPORTING;1
AREA - DISCOVERY;1
3.2.0;1
REBASE REQUIRED;1
WAITING ON RESPONSE;1
SQL;1
2.4.2;1
2.4.1;1
3.0.0;1
2.4.0;1
ENCODINGS;1
ENGINE;1
HEROKU;1
RSPEC-RAILS-2;1
DEV;1
CHANGE;1
4.0 BETA;1
3.1.2;1
3.2.0.RC;1
3.0 FINAL;1
3.1;1
2.2.1;1
2.2;1
2.1 FINAL;1
2.1 RC;1
2.0.2;1
2.0.1;1
2.0 FINAL;1
2.0.0.RC5;1
2.0.0.RC4;1
2.0.0.RC3;1
2.0.0.RC2 (RAILS 3.1.0.RC2);1
2.0.0.RC1 (RAILS 3.1 RC1);1
1.2.4;1
VIM;1
GIT;1
PENDING;1
ITERAÇÃO 0.0.1;1
IDEA;1
GH-BUG;1
CONVERT TO PR;1
MORE INFO NEEDED;1
V4.4.0;1
SPOOF RELATED;1
NEEDS MORE WORK;1
HOUND;1
V4.1.2;1
V3.1.3;1
V3.0.3;1
V3.2.0;1
V3.1.0;1
V3.0.2;1
V3.0.1;1
V2.3.11;1
ACTIVEMODEL;1
POSTGRESQL;1
4.2.5;1
RAILTIES;1
ONHOLD;1
ENGINES;1
ACTIONVIEW;1
5.0.0;1
ACTIVESUPPORT;1
ACTIVEJOB;1
ACTIONPACK;1
ACTIONMAILER;1
4.2.4;1
ATTACHED PR;1
WITH REPRODUCTION STEPS;1
GSOC;1
4.1.13;1
4.2.3;1
RELEASE BLOCKER;1
STALE;1
ENUM;1
RUBINIUS;1
ASSET PIPELINE;1
PINNED;1
4.1.12;1
OPENACADEMY;1
4.1.14;1
4.2.1;1
4.1.10;1
ROUTING;1
4.0.13;1
4.1.9;1
4.2.0;1
4.1.8;1
4.1.6;1
4.0.10;1
4.0.6;1
4.1.2;1
4.1.0;1
4.0.4;1
4.0.1;1
3.2.15;1
3.2.14;1
3.2.13;1
3.2.10;1
3.2.9;1
3.2.8;1
3.2.7;1
3.2.6;1
3.2.3;1
3.2.2;1
3.2.4;1
3.2.1;1
RAILS 3.2;1
3.1.4;1
3.1.3;1
3.0.11;1
3.1.1;1
3.1.5;1
RAILS 3.1;1
3.0.10;1
3.0.9;1
3.0.13;1
RAILS 3.0.8;1
0.4;1
NEEDS VERIFICATION;1
CANTFIX;1
RUBY-PROCESSING-2.6.14;1
2.6.5;1
2.6.1;1
INTERMITTENT;1
3.0.6;1
RESTRUCTURE;1
VERSION 3;1
CONFLICT;1
SDFSD;1
CODE;1
V3;1
CODING STANDARDS;1
STYLING PROBLEM;1
QUERY;1
BLOAT;1
PENDING-REPLY;1
MATCHERS;1
CONTEXT;1
2.1;1
NEEDS TESTS;1
NEW BEHAVIOUR;1
1.3;1
1.3.3;1
1.3.2;1
1.2;1
4-0-STABLE;1
TYPUS FOR RAILS 4 GEM;1
WISH;1
V3.2.X;1
TYPUS 3.1.0;1
FRIENDLYID 4.0;1
LOOKING FOR HELP;1
READ THIS;1
NON-BUG;1
MECHANIZE 2.1;1
UNCLEAR;1
BAD SERVER;1
0.5.3;1
CSS;1
NEEDS FOLLOW-UP;1
1.5.2;1
1.6.0;1
CHROME;1
1.5.3;1
INCOMPLETE;1
OPTIMIZATION;1
MOBILE;1
WORKSFORME;1
1.5.1;1
IE;1
BOUNTY;1
DEPRECATION;1
SEMANTIC;1
1.4.5;1
1.4.4;1
LINT;1
1.4.3;1
1.4.2;1
1.4.1;1
CORE 2.0 ALPHA 1;1
CORE 1.4.0;1
CORE 1.3.3;1
REQUIRES INVESTIGATION;1
@TAYLOR LUK;1
|M| 0•3 RELEASE;1
|S| RESOLVED;1
FILTER;1
NAMED ARGUMENT;1
VARIABLE;1
INTERNATIONALIZATION;1
COMMENTS;1
DATA;1
OBJECTS;1
ORM;1
OUTPUT;1
PROTECTED;1
TEMPLATE;1
|M| 0•4;1
AUTOESCAPE;1
A LABEL;1
REVIEW;1
HOLD;1
LAYOUT;1
3 - DONE;1
SERVER;1
PROJECT;1
YAML 2.0.1;1
WHITESPACE;1
BREAKSCOMPATIBILITY;1
3.0 RELEASE;1
WAITING;1
1.0;1
RENDERING;1
DELAYED;1
SUGGESTION;1
TECHDEBT;1
SETTINGS;1
LESS IMPORTANT;1
V1.4.0;1
GLORYBOX;1
ESOBCHENKO;1
AGENT;1
BEATLES;1
MAINTENANCE;1
NEWBIE;1
1.1;1
EXPERIMENT;1
MINOR;1
1.2.0;1
1.1.4;1
1.1.2;1
1.1.3;1
1.0.5;1
HARDER;1
RE-ASSESS;1
FROM-LIGHTHOUSE;1
|M| 0•5;1
|S| NEW;1
@MATTUP;1
CORE-ENGINE;1
CORE-NODES;1
DUCKTYPE;1
NOMETHODERROR;1
3DSECURE;1
GATEWAY;1
V2;1
TECHNICAL DEBT;1
NEEDS REMOTE CREDENTIALS;1
OSX;1
CONFIGURATION;1
RACE;1
GET READY;1
EVENTS;1
WINNER;1
PENDING.RELEASE;1
STATS;1
SKINS;1
ALL SCREENS;1
INSTALLER;1
1.0.PRE;1
JAVA;1
NEW_FEATURES;1
0.9.3.1;1
0.10;1
0.9.3;1
NEW-FEATURE;1
0.9.2;1
WEB;1
MAJOR-CHANGE;1
0.9.1;1
BLUE-SKY;1
0.9;1
0.0.3;1
FONTS;1
BEHAVIOR;1
MARKUP;1
QUALITY;1
STYLE;1
STORIES;1
