API;outros;api;api;api change;api conflict;c api;;;;;
ADMIN;outros;admin;admin upgrades;;;;;;;;
BUG;outros;bug;bugs;Bug;bug report;bug!!;bud-dev;bug-fix;bugfix;bug-report;confirmed_bug
BUILD;outros;build;Build system;building;;;;;;;
CANNOT REPRODUDE;status;Cannot reproduce;canot reproduce;CannotReproduce;can't reproduce;cantreproduce;;;;;
CHANGE;outros;change;change-request;change request;;;;;;;
CODE;componentes;code;Code;code bug;code quality / build system;coding bug;coding standart;;;;
COMMUNIT;autores;community;Communit;communit_support;;;;;;;
COMPATIBILITY;outros;componentes;Compatibility;compatibility;;;;;;;
COMPILER;outros;compiler;compiler issue;;;;;;;;
CONFIRMED;status;confirmed;Confirmed;;;;;;;;
CORE;componentes;core_engine;core_nodes;core;;;;;;;
CRITICAL;status;critical;Critical error;;;;;;;;
CSS;componentes;css;css3;;;;;;;;
DATABASE;componentes;database;database inserter;;;;;;;;
DEBUGGER;componentes;debugger;debbuging;;;;;;;;
DEFECT;outros;defect;Defect;;;;;;;;
DISCUSS;outros;discuss;Discuss;discussion;Discussion;;;;;;
DO IT;outros;do it;DO IT;do it later;;;;;;;
DOC;outros;doc;docco;docs;documentation;Documentation;documentation-request;;;;
DOM;outros;dom;dom-api;;;;;;;;
DSL;outros;dsl;dsl change;;;;;;;;
DUPLICATE;outros;duplicate;Duplicate;;;;;;;;
EASY;status;easy;Easy;Easy to fix;easy to fix;;;;;;
ENHANCEMENT;outros;enhancement;enhancements;;;;;;;;
ENV;outros;env;enviroment;;;;;;;;
ERROR;status;error;errorrrr;errors;error handling;error-reporting;;;;;
EXTENSION;componentes;extension;extensions;;;;;;;;
FEATURE;outros;features;feature;Feature;feature Enhancement;feature request;Feature Request;Feature!;feature_request;feature-request;
FEEDBACK;outros;feedback;Feedback;Feedback Requested;feedback requested;Feedback Required;feedback required;feedback-needed;feedback-wanted;;
FIX;status;fix;fixed;fix-later;Fix needs confirmation;;;;;;
FUTURE;outros;future;future idea;Future Plan;;;;;;;
GATEWAY;componentes;gateway;gateway feature;gateway fix;gateway recurring;gateway submission;;;;;
HELP WANTED;outros;Help Wanted;help wanted;;;;;;;;
HIGH;status;high priority;highest priority;;;;;;;;
HTML;componentes;html;html 5;html_css;HTML5;;;;;;
IDEA;outros;idea;Idea;;;;;;;;
IMPROVEMENT;outros;improvement;improooooooovement;Improvement;;;;;;;
INTERNAL;outros;internal;internal improvement;;;;;;;;
INVALID;status;invalid;invalid xml handling;;;;;;;;
JRUBY;componentes;jruby;JRuby;Jruby;;;;;;;
NEED MORE INFO;outros;need more info;needinfo;Need More Info;Needs More Info;;;;;;
NEED FEEDBACK;outros;needs feedback;NeedsFeedback;;;;;;;;
ORDER;outros;order;order_by;;;;;;;;
PARSER;outros;parser;parsing;;;;;;;;
PATCH;componentes;patch;patch-needed;patchwelcome;;;;;;;
POSSIBLY OUTDATED;outros;possibly outdated;possiblyOutdated;;;;;;;;
POSTGRESQL;componentes;postgres;PostgreSQL;postgresql;;;;;;;
QUESTION;outros;question;Question/Discussion;Question;#NOME?;;;;;;
RAILS;componentes;rails;rails 2.3;rails 4.0;rails3;rails31;rails-4.2;rails-4.x;rails42;;
REFACTOR;status;refactor;refactoring;;;;;;;;
RELEASE BLOCKER;outros;release blocker;release-blocker;;;;;;;;
RESOURCES;componentes;resources;;;;;;;;;
RUBY;componentes;ruby;ruby 2.0;ruby 1.9;ruby 2 problem;ruby 2.1;ruby 2.2;ruby19;rubydoc.info;rubygems;ruby-version-difference
SPEC;componentes;specs;spec;;;;;;;;
SUPPORT;outros;support;Support - Pending Response;Support request;support scripts;;;;;;
TEST;outros;test;testing;tests;test after listen integration;tests need attention;tests needed;test-unit;testunit2;;
THIRD PARTY;outros;third party issue;ThirdParty;third-party;;;;;;;
TODO;outros;todo;TODO;TODO for v 0.0.4;;;;;;;
UI;outros;ui;ui improvement;;;;;;;;
UNVERIFIED;outros;unverified;unverified bug;;;;;;;;
WATING;status;waiting for feedback;waiting for feedbacks;waiting for more info;waiting for reply;waiting for response;;;;;
WILL FIX;status;will fix;willfix;will-fix;will-close;;;;;;
WINDOWS;componentes;windows;windows compatibility;windows-specific;;;;;;;
WISH;outros;wish;wishlist;;;;;;;;
WONT FIX;outros;wont fix;won't fix;wontfix;wont-fix;won-t-fix;;;;;
